Sigla,Nome,Tipo,Dividendo (%),Patrimônio (R$),VPA (R$),V/VPA,Valor (R$),Cotas,Max52 (R$),Min52 (R$),Valorização (%/ano)
TGAR11,TG Ativo Real,Tijolo: Desenvolvimento,1.02,445.15 M,128.45,0.9575710393149086,123.00,3465671,144.99,80.02,2.67
REIT11,Socopa Fundo de Investimento Imobiliário,Papel: CRIs,1.87,33.08 M,1258.30,0.9536676468250815,1200.00,26291,1469.98,1001.00,6.98
VGIR11,Valora RE III,Papel: CRIs,0.54,436.61 M,96.89,0.9593353287232945,92.95,4506414,129.90,58.00,9.88
SAAG11,Santander Agências,Tijolo: Bancário,0.87,627.92 M,111.50,0.9561434977578476,106.61,5631512,146.49,89.00,15.36
XPPR11,XP PROPERTIES,Tijolo: Escritórios,0.83,414.15 M,95.87,1.0060498591843121,96.45,4320000,129.99,52.00,6.81
RBRY11,RBR Private Crédito Imobiliário,Papel: CRIs,0.65,202.56 M,103.10,0.9699321047526673,100.00,1964693,130.00,82.00,8.26
XPML11,XP Malls FII,Tijolo: Shoppings,0.46,1.98 B,108.60,1.0101289134438307,109.70,18207683,149.98,59.27,1.70
CTXT11,Centro Têxtil Internacional,Tijolo: Outros,0.71,138.41 M,53.35,1.000937207122774,53.40,2594279,62.65,41.90,13.37
FIIP11B,RB Capital Renda I,Tijolo: Galpões,0.60,179.10 M,193.17,1.0094735207330332,195.00,927162,214.85,126.00,1.01
MBRF11,Mercantil do Brasil,Tijolo: Escritórios,0.70,130.58 M,1284.40,0.9961460604173155,1279.45,101664,1440.00,801.01,2.77
CPFF11,Capitania Reit FoF,Papel: Fundo de Fundos,0.37,199.13 M,82.97,0.9698686272146559,80.47,2400000,112.00,52.00,26.07
BARI11,Barigui Rendimento Imobiliários I,Papel: CRIs,0.64,220.11 M,98.52,0.9946203816483963,97.99,2234191,115.50,67.00,9.86
SDIL11,SDI Logística Rio,Tijolo: Galpões,0.45,455.32 M,95.45,1.0292299633315871,98.24,4770100,159.99,58.70,13.77
HABT11,Habitat II FII,Papel: CRIs,0.70,383.73 M,100.23,0.995709867305198,99.80,3828572,129.49,75.61,0.21
RBRP11,RBR Properties,Tijolo: Escritórios,0.47,716.19 M,83.74,1.0617387150704563,88.91,8552712,105.50,43.20,1.61
RECT11,UBS (BR) Office,Indefinido,0.82,534.48 M,98.37,1.0074209616753074,99.10,5433591,129.92,69.04,2.47
BBVJ11,BB Votorantim Cidade Jardim Continental Tower,Tijolo: Escritórios,0.58,156.53 M,57.76,0.986842105263158,57.00,2710000,71.00,42.00,1.72
KNHY11,Kinea High Yield CRI,Papel: CRIs,0.28,1.15 B,107.19,0.9935628323537644,106.50,10690843,139.49,82.50,10.50
FAED11,Anhanguera Educacional,Tijolo: Educacional,0.61,131.66 M,205.03,1.0266790225820612,210.50,642168,308.48,130.11,12.07
OUJP11,OURINVEST JPP,Papel: CRIs,0.59,196.22 M,102.20,1.0371819960861057,106.00,1919995,123.50,47.00,0.75
NPAR11,Nestpar,Papel: CRIs,0.87,14.49 M,125.36,0.8999680918953413,112.82,115571,141.00,100.01,7.49
CPTS11B,Capitania Securities II,Papel: CRIs,0.68,298.60 M,95.86,1.0014604631754642,96.00,3115025,120.00,66.33,4.00
HGPO11,CSHG Prime Offices,Tijolo: Escritórios,0.42,335.68 M,203.44,1.034703106567047,210.50,1650000,230.29,156.00,16.29
FTCE11B,Opportunity,Híbrido (Tijolo/Papel),6.73,1.93 B,2444.75,1.0001022599447795,2445.00,789482,3000.01,2445.00,18.50
BPRP11,FII BRLPROP,Tijolo: Galpões,0.75,139.93 M,103.66,0.9667181169207023,100.21,1349837,109.99,90.00,6.14
FAMB11B,Edifício Almirante Barroso,Tijolo: Escritórios,0.90,365.82 M,3490.66,1.0270435963399471,3585.06,104800,3997.94,1980.00,29.28
ABCP11,Grand Plaza Shopping,Tijolo: Shoppings,0.54,1.05 B,85.64,1.0511443250817374,90.02,12203833,109.90,65.01,16.82
FCFL11,Campus Faria Lima,Tijolo: Educacional,0.47,354.36 M,106.10,1.0117813383600378,107.35,3340000,150.13,90.12,6.65
VVPR11,V2 Properties,Tijolo: Escritórios,0.60,189.85 M,100.32,1.0316985645933014,103.50,1892380,119.90,71.05,8.41
BICR11,Inter Títulos Imobiliários,Papel: CRIs,0.32,49.87 M,99.73,0.9981951268424746,99.55,500000,200.00,86.10,24.58
